site,year,month,energy_mwh,water_m3,waste_tonnes,ghg_tonnes,incidents
SITE D,2023,6,1091.3,490.6,47.6,70.5,1
SITE E,2023,6,774.7,264.4,48.9,156.3,0
SITE C,2023,10,1061.2,113.2,21.4,132.9,1
SITE E,2023,4,882.9,238.0,22.2,94.5,0
SITE E,2023,6,1471.7,353.7,29.4,113.0,0
SITE B,2023,2,1348.9,372.3,27.9,88.4,0
SITE C,2023,10,1221.7,312.4,49.8,141.7,0
SITE C,2023,12,736.0,279.1,17.0,62.2,0
SITE C,2023,2,756.1,321.2,10.7,50.8,1
SITE E,2023,10,540.4,337.1,29.8,144.2,0
SITE D,2023,4,1210.7,132.3,17.2,79.1,2
SITE C,2023,8,610.9,247.9,24.7,60.6,1
SITE E,2023,7,939.3,196.9,39.8,109.5,0
SITE B,2023,12,701.7,421.3,38.8,57.6,2
SITE D,2023,9,1395.8,288.1,22.3,183.0,0
SITE B,2023,8,975.4,493.4,31.7,54.1,2
SITE D,2023,5,1063.3,259.5,30.4,136.8,4
SITE E,2023,2,1195.5,426.6,35.5,115.8,2
SITE A,2023,5,639.3,419.3,20.0,150.8,1
SITE D,2023,8,1104.4,160.3,33.6,99.2,3
SITE B,2023,10,1039.8,303.3,49.2,73.3,1
SITE E,2023,9,703.1,378.3,29.5,197.3,0
SITE D,2023,12,1442.9,443.3,46.2,175.8,0
SITE A,2023,12,1098.9,230.4,27.4,179.1,1
SITE A,2023,12,1194.8,188.1,24.0,87.5,1
SITE C,2023,9,1380.5,384.5,35.8,55.8,1
SITE C,2023,1,1124.4,423.8,36.8,95.5,1
SITE B,2023,9,795.6,239.5,44.6,130.6,0
SITE D,2023,7,605.5,138.5,19.2,99.0,1
SITE D,2023,9,956.5,476.2,30.0,174.2,0
SITE C,2023,8,718.4,259.0,32.9,90.7,1
SITE D,2023,1,916.5,307.1,40.7,194.8,2
SITE D,2023,12,1383.3,435.1,11.7,118.6,1
SITE A,2023,8,824.3,370.3,49.8,176.3,2
SITE C,2023,8,622.1,394.1,28.8,79.2,0
SITE E,2023,11,856.3,183.6,21.2,111.7,2
SITE C,2023,3,1406.8,316.6,45.3,154.9,0
SITE E,2023,1,772.1,378.3,39.9,70.8,2
SITE A,2023,8,1147.7,191.4,48.1,69.9,1
SITE B,2023,3,500.5,170.0,23.2,195.4,1
SITE D,2023,3,852.6,492.9,32.1,157.2,0
SITE A,2023,1,804.8,306.7,32.9,56.2,0
SITE D,2023,11,664.7,204.3,49.2,109.8,0
SITE B,2023,5,1034.1,498.5,13.0,115.0,2
SITE B,2023,10,984.8,486.2,22.2,161.6,2
SITE A,2023,7,1192.4,323.3,17.6,87.6,1
SITE B,2023,10,769.4,453.1,20.7,77.7,0
SITE E,2023,9,744.1,175.5,29.4,62.1,1
SITE B,2023,12,668.3,211.5,24.9,114.2,0
SITE D,2023,7,718.8,380.1,25.8,153.3,2
SITE D,2023,9,1058.1,438.7,43.8,58.7,3
SITE D,2023,8,903.8,442.5,47.2,187.3,2
SITE D,2023,12,564.9,261.8,12.8,116.4,5
SITE E,2023,2,753.9,455.1,18.4,86.0,0
SITE C,2023,1,746.9,440.4,36.8,64.1,1
SITE A,2023,7,1196.3,474.3,24.3,77.4,0
SITE D,2023,7,1212.3,414.1,20.2,190.2,1
SITE B,2023,8,648.1,367.6,21.8,145.7,3
SITE D,2023,5,1497.7,332.3,22.9,127.5,2
SITE B,2023,3,766.8,248.9,43.9,148.6,1
